o,d,flow_in,flow_out
22,49,31,32
22,50,172,173
22,51,321,321
22,52,940,943
22,53,1068,1081
22,54,2019,2025
22,55,5769,5781
22,56,569,580
22,58,1335,1341
22,60,3307,3322
22,61,3758,3773
22,63,1295,1300
22,65,406,407
22,66,374,383
22,67,1090,1095
22,70,1,1
22,98,192,198
22,99,74556,75241
22,102,493,496
22,103,1,1
22,127,4017,4056
22,128,5409,5415
22,129,2780,2793
22,130,4328,4353
22,132,2483,2484
22,133,57,58
22,483,2,2
22,512,1,1
22,518,3,3
22,519,5,6
22,521,1,1
22,526,1,1
22,528,10,10
22,832,23207,23236
22,856,110727,122140
22,857,7004,10622
22,859,4988,7430
22,860,1101,1975
22,862,3050,5855
22,863,16202,16737
22,877,45,52
22,879,1,4
22,882,3,9
22,884,0,3
22,887,3,3
22,888,1,1
22,889,1,1
22,890,8,9
22,892,26872,27006
22,894,7528,7563
22,895,7488,7532
22,896,21843,21960
22,900,1,3
22,903,3,6
22,906,529,572
22,907,307,322
22,908,101,116
22,909,65,75
22,910,191,219
22,911,230,231
22,913,2,2
22,916,1,1
22,918,1,1
22,921,1,2
22,923,3,3
22,924,11,12
22,928,4,5
22,929,14,16
22,930,12,12
22,931,11,13
22,932,3,4
22,938,6,6
22,940,86,110
22,941,302,308
22,942,9192,9269
22,946,1,1
23,8,40243,46618
23,11,28882,29657
23,12,91188,92816
23,13,48449,48963
23,14,30262,30596
23,15,18,18
23,19,115487,117067
23,20,58422,58757
23,21,16169,16520
23,22,22949,23102
23,23,1570,1591
23,24,1356,2725
23,25,40333,40718
23,27,15352,15632
23,28,35354,35793
23,49,62,62
23,50,268,268
23,51,450,453
23,52,2921,3055
23,53,2683,2744
23,54,4065,4098
23,55,16907,17119
23,56,1692,1723
23,58,4111,4130
23,60,5505,5528
23,61,7774,7812
23,63,2869,2883
23,65,772,777
23,66,2565,2659
23,67,2566,2667
23,68,357,621
23,70,152,1166
23,98,164160,164804
23,99,81660,82709
23,102,1070,1078
23,103,46,572
23,127,9239,9341
23,128,11507,11622
23,129,7507,7545
23,130,11344,11433
23,132,5712,5770
23,133,122,123
23,480,2261,2289
23,481,1318,1383
23,483,4476,4775
23,511,56,62
23,512,89,98
23,514,310,427
23,516,1206,1286
23,518,3155,3331
23,519,2201,2374
23,521,1582,1622
23,522,5,5
23,524,292,305
23,525,567,579
23,526,1893,1943
23,527,2068,2127
23,528,95189,97832
23,832,36156,36359
23,856,263092,297292
23,857,27992,44253
23,859,5524,9211
23,860,737,1724
23,862,3591,8759
23,863,36899,38283
23,877,39722,69731
23,879,2688,14465
23,880,0,2
23,882,4947,13145
23,883,1249,2639
23,884,1493,8551
23,885,132,662
23,886,372,1859
23,887,3007,11421
23,888,184,841
23,889,813,3711
23,890,1221,5913
23,892,46409,46749
23,894,4120,4174
23,895,7078,7168
23,896,57410,57964
23,900,641,1865
23,901,887,1443
23,902,71,259
23,903,3316,4024
23,906,1076,1213
23,907,1156,1199
23,908,223,255
23,909,118,153
23,910,517,616
23,911,645,650
23,913,1095,5541
23,914,29,79
23,915,1,19
23,916,13,32
23,917,2242,3105
23,918,1990,2248
23,919,680,775
23,920,1587,1780
23,921,4766,6195
23,922,2246,2523
23,923,3416,4677
23,924,856,905
23,926,232,262
23,927,74,75
23,928,126,152
23,929,1198,1294
23,930,753,799
23,931,1851,2146
23,932,3614,4517
23,933,82,86
23,934,411,460
23,936,219,267
23,937,298,313
23,938,4539,5446
23,939,19,61
23,940,254,411
23,941,676,689
23,942,29094,29410
23,946,150,159
24,8,367,416
24,11,647,677
24,12,2188,2267
24,13,2422,2522
24,14,1649,1720
24,15,1,1
24,19,2845,2927
24,20,4301,4374
24,21,571,594
24,22,5612,5784
24,23,6375,6691
24,24,766,5513
24,25,3500,3581
24,27,2433,2497
24,28,4781,4869
24,49,12,12
24,50,28,28
24,51,57,57
24,52,190,196
24,53,225,231
24,54,299,310
24,55,2239,2262
24,56,125,133
24,58,276,282
24,60,468,475
24,61,592,600
24,63,571,576
24,65,90,93
24,66,88,90
24,67,296,308
24,68,18,37
24,70,7,48
24,98,17507,17891
24,99,7459,7647
24,102,149,155
24,103,4,9
24,127,760,771
24,128,752,772
24,129,606,619
24,130,783,794
24,132,372,378
24,133,6,6
24,480,53,53
24,481,39,40
24,483,172,190
24,511,1,2
24,512,9,10
24,514,18,23
24,516,34,37
24,518,127,137
24,519,64,70
24,521,63,64
24,524,13,13
24,525,17,17
24,526,34,34
24,527,26,26
24,528,643,666
24,832,1982,2016
24,856,178160,202408
24,857,7947,11528
24,859,9885,19768
24,860,1059,3453
24,862,1159,4782
24,863,16326,17494
24,877,2334,3676
24,879,203,669
24,882,267,581
24,883,51,98
24,884,98,313
24,885,2,19
24,886,18,86
24,887,262,664
24,888,11,38
24,889,81,202
24,890,48,173
24,892,10840,11084
24,894,385,414
24,895,491,509
24,896,3522,3625
24,900,9,21
24,901,13,18
24,902,9,12
24,903,25,29
24,906,98,114
24,907,156,162
24,908,23,27
24,909,12,17
24,910,22,24
24,911,49,50
24,913,54,148
24,914,2,12
24,915,0,4
24,916,1,9
24,917,251,344
24,918,57,65
24,919,21,26
24,920,82,96
24,921,254,346
24,922,120,134
24,923,152,202
24,924,63,66
24,926,15,16
24,927,5,5
24,928,8,9
24,929,25,27
24,930,22,26
24,931,67,72
24,932,130,165
24,933,4,5
24,934,9,13
24,936,4,10
24,937,32,36
24,938,484,572
24,939,1,1
24,940,5,16
24,941,70,75
24,942,4755,4862
24,946,2,2
25,8,1288,1458
25,11,1408,1449
25,12,6086,6199
25,13,3766,3814
25,14,5922,6002
25,15,1,1
25,19,13764,13912
25,20,8795,8856
25,21,1263,1291
25,22,34732,34995
25,23,24389,24719
25,24,142,428
25,25,380,385
25,27,9331,9440
25,28,19967,20216
25,49,19,20
25,50,85,87
25,51,121,121
25,52,884,887
25,53,1681,1690
25,54,1625,1640
25,55,5977,6018
25,56,655,679
25,58,1032,1039
25,60,2118,2126
25,61,5681,5693
25,63,1491,1498
25,65,428,435
25,66,428,436
25,67,1045,1061
25,68,8,21
25,70,13,81
25,98,31908,32117
25,99,57986,58716
25,102,292,293
25,103,0,110
25,127,4000,4034
25,128,5831,5855
25,129,3549,3667
25,130,5361,5400
25,132,2351,2361
25,133,38,38
25,480,70,72
25,481,67,73
25,483,194,210
25,511,2,2
25,512,13,13
25,514,18,23
25,516,56,58
25,518,191,201
25,519,130,150
25,521,76,80
25,522,1,1
25,524,23,23
25,525,16,16
25,526,149,152
25,527,145,149
25,528,3067,3135
25,832,19586,19640
25,856,3642,4139
25,857,1957,3045
25,859,8393,17901
25,860,273,1115
25,862,987,6787
25,863,17595,18338
25,877,1064,2059
25,879,585,2267
25,880,4,4
25,882,1164,3218
25,883,211,462
25,884,153,1446
25,885,8,114
25,886,36,215
25,887,190,1324
25,888,5,71
25,889,64,394
25,890,51,781
25,892,30144,30392
25,894,16395,16556
25,895,11653,11772
25,896,27680,27877
25,900,20,97
25,901,70,98
25,902,58,107
25,903,250,298
25,906,523,605
25,907,528,548
25,908,100,116
25,909,52,61
25,910,81,102
25,911,198,201
25,913,40,250
25,914,0,6
25,915,0,2
25,916,0,1
25,917,223,301
25,918,223,242
25,919,70,83
25,920,95,108
25,921,476,618
25,922,149,165
25,923,312,453
25,924,72,81
25,926,43,46
25,927,3,3
25,928,18,25
25,929,75,88
25,930,48,53
25,931,206,239
25,932,215,267
25,933,2,2
25,934,26,35
25,936,14,18
25,937,30,31
25,938,360,458
25,939,0,4
25,940,40,69
25,941,329,333
25,942,12482,12602
25,946,11,12
27,8,599,713
27,11,867,902
27,12,4249,4375
27,13,3124,3212
27,14,2810,2877
27,15,1,1
27,19,4513,4629
27,20,2317,2363
27,21,604,630
27,22,6948,7099
27,23,14504,14809
27,24,53,367
27,25,9440,9572
27,27,250,261
27,28,14991,15468
27,49,113,125
27,50,425,427
27,51,546,549
27,52,3196,3227
27,53,3728,3772
27,54,6265,6305
27,55,13211,13312
27,56,21758,22516
27,58,10071,10162
27,60,10106,10184
27,61,17951,18039
27,63,3370,3425
27,65,1718,1933
27,66,1002,1022
27,67,2113,2142
27,68,8,19
27,70,5,44
27,98,19752,20083
27,99,55773,57540
27,102,7698,7804
27,103,2,45
27,127,25015,25259
27,128,36362,36681
27,129,9851,9964
27,130,12835,12966
27,132,8939,9022
27,133,247,247
27,480,48,48
27,481,31,33
27,483,104,107
27,511,3,3
27,512,7,8
27,514,13,17
27,516,25,25
27,518,92,101
27,519,65,69
27,521,81,81
27,524,6,6
27,525,24,25
27,526,40,40
27,527,102,110
27,528,2548,2631
27,832,6150,6345
27,856,1149,1252
27,857,1641,2792
27,859,2824,6427
27,860,69,449
27,862,235,2517
27,863,30712,32028
27,877,762,1600
27,879,161,1209
27,882,564,1552
27,883,130,313
27,884,130,1168
27,885,1,51
27,886,13,174
27,887,127,966
27,888,8,109
27,889,32,264
27,890,55,878
27,892,7305,7483
27,894,3415,3763
27,895,1519,1838
27,896,10284,10584
27,900,47,160
27,901,80,125
27,902,4,17
27,903,231,290
27,906,1740,2006
27,907,1987,2076
27,908,390,453
27,909,395,483
27,910,749,897
27,911,784,802
27,913,16,162
27,914,0,5
27,915,0,1
27,916,1,3
27,917,165,257
27,918,130,150
