,name,route_name,station,route,latitude,longitude,id
1431,七里庄,14号线,31,14,39.86398449,116.28936929999999,935
1433,西局,14号线,33,14,39.86487051,116.2973192,9051
1471,金台路,14号线,71,14,39.9227555,116.47254779999999,649
1473,朝阳公园,14号线,73,14,39.933710999999995,116.478283,1473
1475,枣营,14号线,75,14,39.93369892,116.47273290000001,1475
1477,东风北桥,14号线,77,14,39.94285714,116.468544,1477
1479,将台,14号线,79,14,39.96213805,116.4801571,1479
1483,望京南,14号线,83,14,39.98668359,116.47102609999999,1483
1485,阜通,14号线,85,14,39.9906066,116.46434529999999,1485
1487,望京,14号线,87,14,39.99751005,116.461481,1487
1489,东湖渠,14号线,89,14,40.01242997,116.4607898,1489
1491,来广营,14号线,91,14,40.02241912,116.4610861,1491
1493,善各庄,14号线,93,14,40.02861997,116.4699057,1493
1525,清华东路西口,15号线,25,15,39.99900758,116.3321773,1525
1527,六道口,15号线,27,15,40.00014998,116.3606809,1527
1529,北沙滩,15号线,29,15,40.00011885,116.3714547,1529
1531,奥林匹克公园,15号线,31,15,40.00065325,116.38545549999999,825
1533,安立路,15号线,33,15,40.00100925,116.4018587,1533
1537,关庄,15号线,37,15,39.99969618,116.42354590000001,1537
1539,望京西,15号线,39,15,39.99478881,116.4421466,1343
1541,望京,15号线,41,15,39.99680587,116.46305559999999,1487
1545,崔各庄,15号线,45,15,40.02161263,116.4857622,1545
1547,马泉营,15号线,47,15,40.03330665,116.49695690000001,1547
1549,孙河,15号线,49,15,40.0414278,116.52631979999998,1549
1551,国展,15号线,51,15,40.0688486,116.5482027,1551
1553,花梨坎,15号线,53,15,40.08385088,116.55006159999999,1553
1555,后沙峪,15号线,55,15,40.11371908,116.5558471,1555
1557,南法信,15号线,57,15,40.12794783,116.6027659,1557
1559,石门,15号线,59,15,40.12930159,116.63368500000001,1559
1561,顺义,15号线,61,15,40.13013421,116.64955490000001,1561
1563,俸伯,15号线,63,15,40.13223701,116.6758027,1563
9701,四惠,八通线,1,97,39.90790300000001,116.4904142,124
9702,四惠东,八通线,2,97,39.90788335,116.51095020000001,125
9703,高碑店,八通线,3,97,39.90845224,116.52650020000002,9703
9704,传媒大学,八通线,4,97,39.90905686,116.5494063,9704
9705,双桥,八通线,5,97,39.9099427,116.57164440000001,9705
9706,管庄,八通线,6,97,39.909175299999994,116.5936473,9706
9707,八里桥,八通线,7,97,39.90627221,116.61383729999999,9707
9708,通州北苑,八通线,8,97,39.90384534,116.63194159999999,9708
9709,果园,八通线,9,97,39.89325478,116.6408376,9709
9710,九棵树,八通线,10,97,39.89000134,116.6519499,9710
9711,梨园,八通线,11,97,39.88340689,116.6635452,9711
9712,临河里,八通线,12,97,39.87547417,116.6736601,9712
9713,土桥,八通线,13,97,39.87182904,116.6810178,9713
9429,南邵,昌平线,29,94,40.20418661,116.27909939999999,9429
9431,沙河高教园,昌平线,31,94,40.16240628,116.2729447,9431
9433,沙河,昌平线,33,94,40.14540528,116.2819274,9433
9435,巩华城,昌平线,35,94,40.12869159,116.2864912,9435
